username, created_at, lng, lat, text
bukkake_tsunami, Fri Apr 24 03:08:37 +0000 2020, -123.819267, 46.976568, @Cheetowunga Worth signing up? 
trevorsjung, Fri Apr 24 03:08:37 +0000 2020, -87.824126, 42.738643, “First, the neighborhood is the unit of change... Second, the people in the community have to be in charge. They ne… https://t.co/C0q239L9qM 
0rly10, Fri Apr 24 03:08:37 +0000 2020, -100.453089, 31.440523, 2020 has been throwing some mf hands lately 
jennife76837456, Fri Apr 24 03:08:37 +0000 2020, -80.639541, 41.105271, Omg I Guess The State Only Pays My Husband $7.75 a Month To Clean Highways. They Won’t pay him the full amount &amp; Th… https://t.co/7rCsWINTp5 
duckinugly, Fri Apr 24 03:08:37 +0000 2020, -88.106030, 41.683339, 🤣🤣 https://t.co/pXvdeWkGgl 
PandaCareers, Fri Apr 24 03:08:37 +0000 2020, -116.260510, 43.435661, We’re looking for talented Orange Chicken Lovers to join the Panda Express team. Learn more: https://t.co/822f3SrKai #FoodService #Kuna, ID 
Axis_Of_Anarchy, Fri Apr 24 03:08:37 +0000 2020, -82.914538, 40.148988, @gerardtieng I got to see him live once. He is SO MUCH FUN to watch! 
brittania_, Fri Apr 24 03:08:37 +0000 2020, -123.123581, 49.257639, new ring designs ✨ the white-ish ones are actually iridescent, but that is Very Hard to capture on camera okay https://t.co/J13i1mrn1O 
LBrownKSTP, Fri Apr 24 03:08:37 +0000 2020, -93.262046, 44.970610, What a day. Up at crack of dawn with movers, kept this dude entertained during the process and now at the anchor de… https://t.co/tBGMUxdMHV 
badgalllvic, Fri Apr 24 03:08:37 +0000 2020, -117.022463, 32.633767, Went to target for one thing and came out with 20 more things. Why do I do this to myself. https://t.co/XmEobZfSBS 
Bhe__ice, Fri Apr 24 03:08:37 +0000 2020, -73.849441, 40.850347, 😂😂😂😂 
SimpsonAmaya, Fri Apr 24 03:08:38 +0000 2020, -81.940298, 34.949965, @demurebeauty_ Real WRONG...like nigga now the whole world knows I’m getting cheated on 😂😂😂 
BiddleRaheme, Fri Apr 24 03:08:38 +0000 2020, -73.831187, 40.670879, Ahh ahh ..HUNTYY don't get caught in that trap...Sending notes threw the son 2 give 2 u ..He know u got an… https://t.co/Y1OQmEFOAk 
IrishHoodlum, Fri Apr 24 03:08:38 +0000 2020, -118.480420, 34.022688, @OldTakesExposed 👀👀👀 
RMoore_53, Fri Apr 24 03:08:38 +0000 2020, -105.074908, 40.409374, @BlackJimHalpert The dude is a dog man.  Really wanted him in Denver 
nikosbeatpod, Fri Apr 24 03:08:38 +0000 2020, -121.243144, 38.649569, @NoHanol @Claude_heff @DuffieldTy Lol respect ! Do what you gotta do ! 
MrsMeredithR, Fri Apr 24 03:08:38 +0000 2020, -118.287140, 34.104000, Every night at 8:00pm our street makes noise for our doctors, nurses, paramedics, grocery store workers, delivery p… https://t.co/qAaYbZYZXq 
RantyAmyCurtis, Fri Apr 24 03:08:38 +0000 2020, -87.967292, 43.056722, @jd4graves https://t.co/P7NqwZDL0r 
BraggsJosh, Fri Apr 24 03:08:38 +0000 2020, -94.731341, 32.503280, Asking for a friend 
